Nombre_del_país,Año_Más_Reciente,Valor_Más_Reciente	
Antigua_y_Barbuda,2022,93763	
Argentina,2022,46234830	
Aruba,2022,106445	
Bahamas,2022,409984	
Barbados,2022,281635	
Belice,2022,405272	
Bolivia,2022,12224110	
Brasil,2022,215313498	
Chile,2022,19603733	
Colombia,2022,51874024	
Costa_Rica,2022,5180829	
Cuba,2022,11212191	
Curacao,2022,149996	
Dominica,2022,72737	
Ecuador,2022,18001000	
El_Salvador,2022,6336392	
Granada,2022,125438	
Guatemala,2022,17357886	
Guyana,2022,808726	
Haití,2022,11584996	
Honduras,2022,10432860	
Isla_de_San_Martín_(parte_francesa),2022,31791	
Islas_Caimán,2022,68706	
Islas_Turcas_y_Caicos,2022,45703	
Islas_Vírgenes_(EEUU),2022,105413	
Islas_Vírgenes_Británicas,2022,31305	
Jamaica,2022,2827377	
México,2022,127504125	
Nicaragua,2022,6948392	
Panamá,2022,4408581	
Paraguay,2022,6780744	
Perú,2022,34049588	
Puerto_Rico,2022,3221789	
República_Dominicana,2022,11228821	
Saint_Kitts_y_Nevis,2022,47657	
San_Vicente_y_las_Granadinas,2022,103948	
Santa_Lucía,2022,179857	
Sint_Maarten_(Dutch_part),2022,43389	
Suriname,2022,618040	
Trinidad_y_Tobago,2022,1531044	
Uruguay,2022,3422794	
Venezuela,2022,28301696
